id,item_id,invoice_id,quantity,unit_price,created_at,updated_at
1,539,1,5,136.35,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
2,528,1,9,233.24,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
3,523,1,8,348.73,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
4,535,1,3,21.96,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
5,529,1,7,791.40,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
6,541,1,5,521.00,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
7,530,1,4,667.47,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
8,534,1,6,769.41,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
9,1832,2,6,299.73,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
10,1830,2,4,18.59,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
11,1849,2,3,309.49,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
12,1845,2,8,310.99,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
13,1921,3,4,786.60,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
14,1920,3,7,42.64,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
15,1918,3,5,720.18,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
16,1918,3,9,720.18,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
17,1922,3,5,463.83,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
18,1921,3,5,786.60,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
19,1917,3,8,487.18,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
20,1918,3,9,720.18,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
21,680,4,2,422.03,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
22,687,4,3,373.33,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
23,932,5,1,664.12,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
24,937,5,10,491.21,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
25,928,5,9,323.46,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
26,936,5,10,734.08,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
27,1867,6,2,83.42,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
28,1878,6,3,487.95,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
29,1858,6,2,220.98,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
30,1862,6,6,182.22,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
